run,fit1,node1,fit2,node2
1,20.06,26.64_8.19_-3.90,10.86,10.93_-4.29_-13.29
1,10.86,10.93_-4.29_-13.29,-2.64,7.79_-1.13_-0.75
1,-2.64,7.79_-1.13_-0.75,-2.64,7.79_-1.13_-0.75
1,-2.64,7.79_-1.13_-0.75,-4.09,-1.52_-1.14_5.43
1,-4.09,-1.52_-1.14_5.43,-4.09,-1.52_-1.14_5.43
1,-4.09,-1.52_-1.14_5.43,-6.54,-1.52_-1.13_2.29
1,-6.54,-1.52_-1.13_2.29,-6.54,-1.52_-1.13_2.29
1,-6.54,-1.52_-1.13_2.29,-6.54,-1.52_-1.13_2.29
1,-6.54,-1.52_-1.13_2.29,-6.54,-1.52_-1.13_2.29
1,-6.54,-1.52_-1.13_2.29,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
1,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
2,53.12,14.11_-29.38_33.72,-0.11,4.65_1.93_-7.00
2,-0.11,4.65_1.93_-7.00,-0.44,7.79_-1.16_-3.86
2,-0.44,7.79_-1.16_-3.86,-2.24,1.53_1.91_-7.00
2,-2.24,1.53_1.91_-7.00,-2.82,-1.52_-1.14_-7.00
2,-2.82,-1.52_-1.14_-7.00,-4.65,-1.53_1.90_-3.87
2,-4.65,-1.53_1.90_-3.87,-4.65,-1.53_1.90_-3.87
2,-4.65,-1.53_1.90_-3.87,-4.65,-1.53_1.90_-3.87
2,-4.65,-1.53_1.90_-3.87,-5.34,-1.52_-1.14_-3.86
2,-5.34,-1.52_-1.14_-3.86,-5.34,-1.52_-1.14_-3.86
2,-5.34,-1.52_-1.14_-3.86,-5.34,-1.52_-1.14_-3.86
2,-5.34,-1.52_-1.14_-3.86,-7.54,1.52_-1.11_-0.75
2,-7.54,1.52_-1.11_-0.75,-7.54,1.52_-1.11_-0.75
2,-7.54,1.52_-1.11_-0.75,-7.54,1.52_-1.11_-0.75
2,-7.54,1.52_-1.11_-0.75,-7.54,1.52_-1.11_-0.75
2,-7.54,1.52_-1.11_-0.75,-7.54,1.52_-1.11_-0.75
2,-7.54,1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
2,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
2,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
2,-7.54,-1.52_-1.11_-0.75,-7.54,-1.52_-1.11_-0.75
3,39.05,17.24_20.75_-25.86,22.55,20.35_-1.17_-19.57
3,22.55,20.35_-1.17_-19.57,22.55,20.35_-1.17_-19.57
3,22.55,20.35_-1.17_-19.57,20.51,1.56_-7.40_-28.99
3,20.51,1.56_-7.40_-28.99,20.51,1.56_-7.40_-28.99
