run,fit1,node1,fit2,node2
1,0.16,-12.56_-8.88_-10.87_-12.54_7.01_-7.67_0.00_0.00,0.03,0.00_0.00_-10.87_0.00_0.00_0.00_0.00_0.00
1,0.03,0.00_0.00_-10.87_0.00_0.00_0.00_0.00_0.00,0.02,0.00_0.00_-5.43_0.00_0.00_7.67_0.00_0.00
1,0.02,0.00_0.00_-5.43_0.00_0.00_7.67_0.00_0.00,0.02,3.14_0.00_0.00_0.00_0.00_7.67_0.00_0.00
1,0.02,3.14_0.00_0.00_0.00_0.00_7.67_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.03,3.14_-4.44_-5.43_0.00_-7.01_0.00_0.00_0.00,0.02,0.00_0.00_-5.43_0.00_-7.01_0.00_0.00_0.00
2,0.02,0.00_0.00_-5.43_0.00_-7.01_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
2,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
3,1.46,47.10_-4.44_-21.73_6.27_-14.01_-30.69_0.00_-44.25,1.46,43.96_-4.44_-27.17_6.27_-14.01_-30.69_0.00_-44.25
3,1.46,43.96_-4.44_-27.17_6.27_-14.01_-30.69_0.00_-44.25,0.06,-9.42_-4.44_0.00_0.00_7.01_0.00_8.28_0.00
3,0.06,-9.42_-4.44_0.00_0.00_7.01_0.00_8.28_0.00,0.05,-9.42_-4.44_5.43_0.00_0.00_0.00_8.28_0.00
3,0.05,-9.42_-4.44_5.43_0.00_0.00_0.00_8.28_0.00,0.05,-6.28_-4.44_5.43_-6.27_0.00_0.00_8.28_0.00
3,0.05,-6.28_-4.44_5.43_-6.27_0.00_0.00_8.28_0.00,0.03,-6.28_-4.44_0.00_0.00_0.00_0.00_8.28_0.00
3,0.03,-6.28_-4.44_0.00_0.00_0.00_0.00_8.28_0.00,0.03,-3.14_-4.44_-5.43_0.00_0.00_0.00_8.28_0.00
3,0.03,-3.14_-4.44_-5.43_0.00_0.00_0.00_8.28_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
3,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
3,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
3,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
3,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
4,0.44,-12.56_-22.19_5.43_0.00_-7.01_30.69_-8.28_0.00,0.04,6.28_4.44_-5.43_-6.27_-7.01_0.00_0.00_0.00
4,0.04,6.28_4.44_-5.43_-6.27_-7.01_0.00_0.00_0.00,0.02,0.00_-4.44_0.00_0.00_0.00_7.67_0.00_0.00
4,0.02,0.00_-4.44_0.00_0.00_0.00_7.67_0.00_0.00,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00
4,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00
4,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00
4,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00
4,0.01,-3.14_-4.44_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
4,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
4,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
4,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
4,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
5,0.15,-12.56_0.00_-5.43_6.27_-7.01_-15.34_0.00_8.85,0.03,6.28_0.00_0.00_6.27_0.00_7.67_0.00_0.00
5,0.03,6.28_0.00_0.00_6.27_0.00_7.67_0.00_0.00,0.03,3.14_4.44_0.00_6.27_0.00_7.67_0.00_0.00
5,0.03,3.14_4.44_0.00_6.27_0.00_7.67_0.00_0.00,0.03,3.14_4.44_0.00_6.27_0.00_7.67_0.00_0.00
5,0.03,3.14_4.44_0.00_6.27_0.00_7.67_0.00_0.00,0.02,0.00_4.44_0.00_0.00_0.00_7.67_0.00_0.00
5,0.02,0.00_4.44_0.00_0.00_0.00_7.67_0.00_0.00,0.02,0.00_4.44_0.00_0.00_0.00_7.67_0.00_0.00
5,0.02,0.00_4.44_0.00_0.00_0.00_7.67_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
5,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
5,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
5,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
5,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
6,0.06,-6.28_0.00_-10.87_6.27_0.00_7.67_0.00_0.00,0.06,-3.14_4.44_-10.87_6.27_0.00_7.67_0.00_0.00
6,0.06,-3.14_4.44_-10.87_6.27_0.00_7.67_0.00_0.00,0.04,0.00_4.44_-5.43_6.27_0.00_7.67_0.00_0.00
6,0.04,0.00_4.44_-5.43_6.27_0.00_7.67_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
6,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00_0.00_0.00_0.00
7,1.22,53.38_0.00_5.43_-18.81_35.04_7.67_-16.57_8.85,1.22,53.38_0.00_5.43_-18.81_35.04_7.67_-16.57_8.85
7,1.22,53.38_0.00_5.43_-18.81_35.04_7.67_-16.57_8.85,0.05,0.00_0.00_-10.87_6.27_0.00_7.67_0.00_0.00
7,0.05,0.00_0.00_-10.87_6.27_0.00_7.67_0.00_0.00,0.02,-3.14_-4.44_-5.43_6.27_0.00_0.00_0.00_0.00
7,0.02,-3.14_-4.44_-5.43_6.27_0.00_0.00_0.00_0.00,0.01,-3.14_4.44_0.00_0.00_0.00_0.00_0.00_0.00
7,0.01,-3.14_4.44_0.00_0.00_0.00_0.00_0.00_0.00,0.01,-3.14_4.44_0.00_0.00_0.00_0.00_0.00_0.00
