run,fit1,node1,fit2,node2
1,-1969.97,203.81_-25.88_420.97_203.81_-302.52_420.97_203.81_203.81,-2266.13,420.97_65.55_420.97_203.81_-124.83_420.97_420.97_203.81
1,-2266.13,420.97_65.55_420.97_203.81_-124.83_420.97_420.97_203.81,-2720.18,420.97_-124.83_420.97_203.81_-302.52_420.97_420.97_420.97
1,-2720.18,420.97_-124.83_420.97_203.81_-302.52_420.97_420.97_420.97,-2937.32,420.97_-124.83_420.97_420.97_-302.53_420.97_420.97_420.97
1,-2937.32,420.97_-124.83_420.97_420.97_-302.53_420.97_420.97_420.97,-2937.32,420.97_-124.83_420.97_420.97_-302.52_420.97_420.97_420.97
1,-2937.32,420.97_-124.83_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.53_420.97_420.97_-302.52_420.97_420.97_420.97
1,-3114.99,420.97_-302.53_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.53_420.97_420.97_-302.52_420.97_420.97_420.97
1,-3114.99,420.97_-302.53_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97
1,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97
1,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97
1,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97,-3114.99,420.97_-302.52_420.97_420.97_-302.52_420.97_420.97_420.97
2,-1811.94,-302.52_-25.88_-124.83_420.97_203.81_420.97_-25.88_-302.52,-1830.33,-302.53_-124.83_-124.83_203.81_420.97_420.97_65.55_-500.00
2,-1830.33,-302.53_-124.83_-124.83_203.81_420.97_420.97_65.55_-500.00,-2187.19,-302.52_-302.52_-124.83_203.81_420.97_420.97_-124.83_-302.52
2,-2187.19,-302.52_-302.52_-124.83_203.81_420.97_420.97_-124.83_-302.52,-2483.21,-302.52_-302.53_-25.88_420.97_420.97_420.97_-302.53_-302.52
2,-2483.21,-302.52_-302.53_-25.88_420.97_420.97_420.97_-302.53_-302.52,-2522.76,-302.53_-302.53_65.55_420.97_420.97_420.97_-302.53_-302.53
2,-2522.76,-302.53_-302.53_65.55_420.97_420.97_420.97_-302.53_-302.53,-2522.76,-302.52_-302.52_65.55_420.97_420.97_420.97_-302.52_-302.52
2,-2522.76,-302.52_-302.52_65.55_420.97_420.97_420.97_-302.52_-302.52,-2541.01,-302.53_-302.53_203.81_420.97_420.97_420.97_-302.53_-500.00
2,-2541.01,-302.53_-302.53_203.81_420.97_420.97_420.97_-302.53_-500.00,-2541.01,-302.52_-302.52_203.81_420.97_420.97_420.97_-302.52_-500.00
