run,fit1,node1,fit2,node2
1,-1147.3,203.81_-25.88_420.97_203.81_-302.52,-1226.32,420.97_65.55_420.97_203.81_-124.83
1,-1226.32,420.97_65.55_420.97_203.81_-124.83,-1403.91,420.97_-25.88_420.97_420.97_-124.83
1,-1403.91,420.97_-25.88_420.97_420.97_-124.83,-1581.58,420.97_-25.88_420.97_420.97_-302.52
1,-1581.58,420.97_-25.88_420.97_420.97_-302.52,-1680.37,420.97_-124.83_420.97_420.97_-302.52
1,-1680.37,420.97_-124.83_420.97_420.97_-302.52,-1738.08,420.97_-302.52_420.97_420.97_-500.00
1,-1738.08,420.97_-302.52_420.97_420.97_-500.00,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1858.04,420.97_-302.52_420.97_420.97_-302.52
1,-1858.04,420.97_-302.52_420.97_420.97_-302.52,-1976.48,420.97_420.97_420.97_-302.53_420.97
1,-1976.48,420.97_420.97_420.97_-302.53_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
1,-1976.48,420.97_420.97_420.97_-302.52_420.97,-1976.48,420.97_420.97_420.97_-302.52_420.97
2,-594.14,203.81_5.24_203.81_-124.83_65.55,-1028.95,203.81_-124.83_203.81_-302.52_203.81
